iso3c,region,country,income_id,gdp,population,food_organic_waste,glass,metal,other,paper_cardboard,plastic
GUM,EAS,Guam,HIC,59074.94140625,159973,27.3,4.5999999999999996,9,8.6999999999999993,28.5,12.4
GUY,LCN,Guyana,UMC,9812.08984375,746556,50.1,4.7,4.2,12.0999999999999,10.7,14.2
HKG,EAS,"Hong Kong SAR, China",HIC,57215.96875,7305700,35,3,2,14,22,21
HND,LCN,Honduras,LMC,5395.61376953125,9112867,57.9,1.27,2.11,6.62,17.36,14.41
HRV,ECS,Croatia,HIC,28829.35546875,4067500,30.9,3.7,2.1,11.5,23.2,22.9
HTI,LCN,Haiti,LIC,2952.61865234375,10847334,61.3,1.6,2.5,16.8,4.0999999999999996,12.7
HUN,ECS,Hungary,HIC,32643.490234375,9769949,22.5,3.5,1.8,45.9,13.4,13
IDN,EAS,Indonesia,LMC,10531.1982421875,261115456,53.8,2.5,1.8,12.9,14.9,14
IRL,ECS,Ireland,HIC,83388.71875,4867316,16.600000000000001,8.5,3.7,25.8,25,12.4
IRN,MEA,"Iran, Islamic Rep.",UMC,14535.8623046875,80277424,72.900000000000006,1.9,2.2999999999999998,5,7.3,8.5
IRQ,MEA,Iraq,UMC,10310.6796875,36115648,68.7,2.2999999999999998,0.98,6,9.6,5.29
ISR,MEA,Israel,HIC,37687.74609375,8380100,34,3,3,16,24,18
ITA,ECS,Italy,HIC,42419.72265625,60297396,34.4,7.6,4.3,15.4,22.8,11.6
JAM,LCN,Jamaica,UMC,9550.810546875,2881355,62.22,2.81,2.38,5.13,14.73,12.2
JOR,MEA,Jordan,UMC,10413.17578125,8413464,50,2,1.5,15.5,15,16
JPN,EAS,Japan,HIC,41309.95703125,126529104,36,5,4,6,33,11
KAZ,ECS,Kazakhstan,UMC,22702.580078125,16791424,30,5,3,7,25,25
KEN,SSF,Kenya,LMC,3329.8544921875,41350152,57,3,1,9,11.3,18.7
KHM,EAS,Cambodia,LMC,3364.27880859375,15270790,66.599999999999994,2.6,2,10.4,4,8.6
KIR,EAS,Kiribati,LMC,2249.7685546875,114395,43.6,5.5,10,9.3000000000000007,10.9,16.5
KNA,LCN,St. Kitts and Nevis,HIC,25569.357421875,54288,27.2,8.1,8.8000000000000007,12.2,20.5,23.2
KWT,MEA,Kuwait,HIC,58810.30078125,2998083,45,4,2,8,20,20
LAO,EAS,Lao PDR,LMC,6543.6669921875,6663967,16.899999999999999,9.3000000000000007,3.7,20.3,2.8,6.1
LBN,MEA,Lebanon,UMC,16966.740234375,5603279,52.5,3.5,5.5,11,16,11.5
